Lugar de condena;Sexo del infractor;Periodo;Total
07 Balears Illes;Mujeres;2022;2.320
07 Balears Illes;Mujeres;2021;2.339
07 Balears Illes;Mujeres;2020;1.586
07 Balears Illes;Mujeres;2019;2.026
07 Balears Illes;Mujeres;2018;2.055
07 Balears Illes;Mujeres;2017;2.005
07 Balears Illes;Mujeres;2016;1.565
08 Barcelona;Total;2022;52.174
08 Barcelona;Total;2021;48.812
08 Barcelona;Total;2020;39.085
08 Barcelona;Total;2019;53.536
08 Barcelona;Total;2018;49.976
08 Barcelona;Total;2017;48.501
08 Barcelona;Total;2016;44.226
08 Barcelona;Hombres;2022;43.810
08 Barcelona;Hombres;2021;40.768
08 Barcelona;Hombres;2020;31.776
08 Barcelona;Hombres;2019;41.916
08 Barcelona;Hombres;2018;39.902
08 Barcelona;Hombres;2017;38.443
08 Barcelona;Hombres;2016;35.286
08 Barcelona;Mujeres;2022;8.364
08 Barcelona;Mujeres;2021;8.044
08 Barcelona;Mujeres;2020;7.309
08 Barcelona;Mujeres;2019;11.620
08 Barcelona;Mujeres;2018;10.074
08 Barcelona;Mujeres;2017;10.058
08 Barcelona;Mujeres;2016;8.940
48 Bizkaia;Total;2022;11.004
48 Bizkaia;Total;2021;10.704
48 Bizkaia;Total;2020;7.283
48 Bizkaia;Total;2019;9.857
48 Bizkaia;Total;2018;9.279
48 Bizkaia;Total;2017;8.913
48 Bizkaia;Total;2016;8.363
48 Bizkaia;Hombres;2022;8.942
48 Bizkaia;Hombres;2021;8.668
48 Bizkaia;Hombres;2020;5.977
48 Bizkaia;Hombres;2019;7.993
48 Bizkaia;Hombres;2018;7.356
48 Bizkaia;Hombres;2017;7.002
48 Bizkaia;Hombres;2016;6.521
48 Bizkaia;Mujeres;2022;2.062
48 Bizkaia;Mujeres;2021;2.036
48 Bizkaia;Mujeres;2020;1.306
48 Bizkaia;Mujeres;2019;1.864
48 Bizkaia;Mujeres;2018;1.923
48 Bizkaia;Mujeres;2017;1.911
48 Bizkaia;Mujeres;2016;1.842
09 Burgos;Total;2022;3.260
09 Burgos;Total;2021;2.943
09 Burgos;Total;2020;2.184
09 Burgos;Total;2019;2.609
09 Burgos;Total;2018;2.543
09 Burgos;Total;2017;2.539
09 Burgos;Total;2016;2.582
09 Burgos;Hombres;2022;2.712
09 Burgos;Hombres;2021;2.481
09 Burgos;Hombres;2020;1.872
09 Burgos;Hombres;2019;2.155
09 Burgos;Hombres;2018;2.138
09 Burgos;Hombres;2017;2.063
09 Burgos;Hombres;2016;2.223
09 Burgos;Mujeres;2022;548
09 Burgos;Mujeres;2021;462
09 Burgos;Mujeres;2020;312
09 Burgos;Mujeres;2019;454
09 Burgos;Mujeres;2018;405
09 Burgos;Mujeres;2017;476
09 Burgos;Mujeres;2016;359
10 Cáceres;Total;2022;3.450
10 Cáceres;Total;2021;3.448
10 Cáceres;Total;2020;2.460
10 Cáceres;Total;2019;2.752
10 Cáceres;Total;2018;2.707
10 Cáceres;Total;2017;2.742
10 Cáceres;Total;2016;2.933
10 Cáceres;Hombres;2022;2.883
10 Cáceres;Hombres;2021;2.849
10 Cáceres;Hombres;2020;2.029
10 Cáceres;Hombres;2019;2.276
10 Cáceres;Hombres;2018;2.290
10 Cáceres;Hombres;2017;2.317
10 Cáceres;Hombres;2016;2.506
10 Cáceres;Mujeres;2022;567
10 Cáceres;Mujeres;2021;599
10 Cáceres;Mujeres;2020;431
10 Cáceres;Mujeres;2019;476
10 Cáceres;Mujeres;2018;417
10 Cáceres;Mujeres;2017;425
10 Cáceres;Mujeres;2016;427
11 Cádiz;Total;2022;14.130
11 Cádiz;Total;2021;12.949
11 Cádiz;Total;2020;9.805
11 Cádiz;Total;2019;12.585
11 Cádiz;Total;2018;13.268
11 Cádiz;Total;2017;12.998
11 Cádiz;Total;2016;12.401
11 Cádiz;Hombres;2022;11.922
11 Cádiz;Hombres;2021;10.798
11 Cádiz;Hombres;2020;8.312
11 Cádiz;Hombres;2019;10.364
11 Cádiz;Hombres;2018;10.796
11 Cádiz;Hombres;2017;10.498
11 Cádiz;Hombres;2016;10.201
11 Cádiz;Mujeres;2022;2.208
11 Cádiz;Mujeres;2021;2.151
11 Cádiz;Mujeres;2020;1.493
11 Cádiz;Mujeres;2019;2.221
11 Cádiz;Mujeres;2018;2.472
11 Cádiz;Mujeres;2017;2.500
11 Cádiz;Mujeres;2016;2.200
39 Cantabria;Total;2022;5.530
39 Cantabria;Total;2021;5.207
39 Cantabria;Total;2020;4.129
39 Cantabria;Total;2019;4.897
39 Cantabria;Total;2018;4.903
39 Cantabria;Total;2017;4.615
39 Cantabria;Total;2016;4.623
39 Cantabria;Hombres;2022;4.418
39 Cantabria;Hombres;2021;4.215
39 Cantabria;Hombres;2020;3.385
39 Cantabria;Hombres;2019;3.974
39 Cantabria;Hombres;2018;3.874
39 Cantabria;Hombres;2017;3.755
39 Cantabria;Hombres;2016;3.763
39 Cantabria;Mujeres;2022;1.112
39 Cantabria;Mujeres;2021;992
39 Cantabria;Mujeres;2020;744
39 Cantabria;Mujeres;2019;923
39 Cantabria;Mujeres;2018;1.029
39 Cantabria;Mujeres;2017;860
39 Cantabria;Mujeres;2016;860
12 Castellón/Castelló;Total;2022;5.410
12 Castellón/Castelló;Total;2021;5.205
12 Castellón/Castelló;Total;2020;4.227
12 Castellón/Castelló;Total;2019;5.659
12 Castellón/Castelló;Total;2018;5.479
12 Castellón/Castelló;Total;2017;5.770
12 Castellón/Castelló;Total;2016;5.269
12 Castellón/Castelló;Hombres;2022;4.534
12 Castellón/Castelló;Hombres;2021;4.343
12 Castellón/Castelló;Hombres;2020;3.549
12 Castellón/Castelló;Hombres;2019;4.576
12 Castellón/Castelló;Hombres;2018;4.518
12 Castellón/Castelló;Hombres;2017;4.799
12 Castellón/Castelló;Hombres;2016;4.327
12 Castellón/Castelló;Mujeres;2022;876
12 Castellón/Castelló;Mujeres;2021;862
12 Castellón/Castelló;Mujeres;2020;678
12 Castellón/Castelló;Mujeres;2019;1.083
12 Castellón/Castelló;Mujeres;2018;961
12 Castellón/Castelló;Mujeres;2017;971
12 Castellón/Castelló;Mujeres;2016;942
13 Ciudad Real;Total;2022;4.416
13 Ciudad Real;Total;2021;4.073
13 Ciudad Real;Total;2020;3.139
13 Ciudad Real;Total;2019;3.991
13 Ciudad Real;Total;2018;3.893
13 Ciudad Real;Total;2017;3.419
13 Ciudad Real;Total;2016;3.140
13 Ciudad Real;Hombres;2022;3.781
13 Ciudad Real;Hombres;2021;3.444
13 Ciudad Real;Hombres;2020;2.593
13 Ciudad Real;Hombres;2019;3.348
13 Ciudad Real;Hombres;2018;3.264
13 Ciudad Real;Hombres;2017;2.826
13 Ciudad Real;Hombres;2016;2.729
13 Ciudad Real;Mujeres;2022;635
13 Ciudad Real;Mujeres;2021;629
13 Ciudad Real;Mujeres;2020;546
13 Ciudad Real;Mujeres;2019;643
13 Ciudad Real;Mujeres;2018;629
13 Ciudad Real;Mujeres;2017;593
13 Ciudad Real;Mujeres;2016;411
14 Córdoba;Total;2022;6.057
14 Córdoba;Total;2021;5.906
14 Córdoba;Total;2020;4.028
14 Córdoba;Total;2019;5.734
14 Córdoba;Total;2018;5.750
14 Córdoba;Total;2017;5.377
14 Córdoba;Total;2016;5.119
14 Córdoba;Hombres;2022;5.090
14 Córdoba;Hombres;2021;4.958
14 Córdoba;Hombres;2020;3.294
14 Córdoba;Hombres;2019;4.651
14 Córdoba;Hombres;2018;4.517
14 Córdoba;Hombres;2017;4.341
14 Córdoba;Hombres;2016;4.219
14 Córdoba;Mujeres;2022;967
14 Córdoba;Mujeres;2021;948
14 Córdoba;Mujeres;2020;734
14 Córdoba;Mujeres;2019;1.083
14 Córdoba;Mujeres;2018;1.233
14 Córdoba;Mujeres;2017;1.036
14 Córdoba;Mujeres;2016;900
15 Coruña A;Total;2022;8.494
15 Coruña A;Total;2021;8.815
15 Coruña A;Total;2020;7.079
15 Coruña A;Total;2019;8.385
15 Coruña A;Total;2018;7.299
15 Coruña A;Total;2017;8.933
15 Coruña A;Total;2016;8.226
15 Coruña A;Hombres;2022;6.993
15 Coruña A;Hombres;2021;7.222
15 Coruña A;Hombres;2020;5.781
15 Coruña A;Hombres;2019;6.727
15 Coruña A;Hombres;2018;5.990
15 Coruña A;Hombres;2017;7.325
15 Coruña A;Hombres;2016;6.932
15 Coruña A;Mujeres;2022;1.501
15 Coruña A;Mujeres;2021;1.593
15 Coruña A;Mujeres;2020;1.298
15 Coruña A;Mujeres;2019;1.658
15 Coruña A;Mujeres;2018;1.309
15 Coruña A;Mujeres;2017;1.608
15 Coruña A;Mujeres;2016;1.294
16 Cuenca;Total;2022;1.032
16 Cuenca;Total;2021;1.147
16 Cuenca;Total;2020;708
16 Cuenca;Total;2019;953
16 Cuenca;Total;2018;972
16 Cuenca;Total;2017;1.121
16 Cuenca;Total;2016;960
16 Cuenca;Hombres;2022;891
16 Cuenca;Hombres;2021;976
16 Cuenca;Hombres;2020;610
16 Cuenca;Hombres;2019;809
16 Cuenca;Hombres;2018;844
16 Cuenca;Hombres;2017;967
16 Cuenca;Hombres;2016;832
16 Cuenca;Mujeres;2022;141
16 Cuenca;Mujeres;2021;171
16 Cuenca;Mujeres;2020;98
16 Cuenca;Mujeres;2019;144
16 Cuenca;Mujeres;2018;128
16 Cuenca;Mujeres;2017;154
16 Cuenca;Mujeres;2016;128
20 Gipuzkoa;Total;2022;6.455
20 Gipuzkoa;Total;2021;6.347
20 Gipuzkoa;Total;2020;4.452
20 Gipuzkoa;Total;2019;5.749
20 Gipuzkoa;Total;2018;5.283
20 Gipuzkoa;Total;2017;4.971
20 Gipuzkoa;Total;2016;4.447
20 Gipuzkoa;Hombres;2022;5.438
20 Gipuzkoa;Hombres;2021;5.392
20 Gipuzkoa;Hombres;2020;3.763
20 Gipuzkoa;Hombres;2019;4.820
20 Gipuzkoa;Hombres;2018;4.404
20 Gipuzkoa;Hombres;2017;4.125
20 Gipuzkoa;Hombres;2016;3.745
20 Gipuzkoa;Mujeres;2022;1.017
20 Gipuzkoa;Mujeres;2021;955
20 Gipuzkoa;Mujeres;2020;689
20 Gipuzkoa;Mujeres;2019;929
20 Gipuzkoa;Mujeres;2018;879
20 Gipuzkoa;Mujeres;2017;846
20 Gipuzkoa;Mujeres;2016;702
17 Girona;Total;2022;6.922
17 Girona;Total;2021;6.346
17 Girona;Total;2020;4.580
17 Girona;Total;2019;6.602
17 Girona;Total;2018;6.349
17 Girona;Total;2017;5.844
17 Girona;Total;2016;5.709
17 Girona;Hombres;2022;6.009
17 Girona;Hombres;2021;5.463
17 Girona;Hombres;2020;3.931
17 Girona;Hombres;2019;5.689
17 Girona;Hombres;2018;5.444
17 Girona;Hombres;2017;4.982
17 Girona;Hombres;2016;5.020
17 Girona;Mujeres;2022;913
17 Girona;Mujeres;2021;883
17 Girona;Mujeres;2020;649
17 Girona;Mujeres;2019;913
17 Girona;Mujeres;2018;905
17 Girona;Mujeres;2017;862
17 Girona;Mujeres;2016;689
18 Granada;Total;2022;9.892
18 Granada;Total;2021;9.277
18 Granada;Total;2020;6.686
18 Granada;Total;2019;8.229
18 Granada;Total;2018;8.364
18 Granada;Total;2017;7.941
18 Granada;Total;2016;7.710
18 Granada;Hombres;2022;8.091
18 Granada;Hombres;2021;7.614
18 Granada;Hombres;2020;5.471
18 Granada;Hombres;2019;6.595
18 Granada;Hombres;2018;6.565
18 Granada;Hombres;2017;6.426
18 Granada;Hombres;2016;6.455
18 Granada;Mujeres;2022;1.801
18 Granada;Mujeres;2021;1.663
18 Granada;Mujeres;2020;1.215
18 Granada;Mujeres;2019;1.634
18 Granada;Mujeres;2018;1.799
18 Granada;Mujeres;2017;1.515
18 Granada;Mujeres;2016;1.255
19 Guadalajara;Total;2022;2.051
19 Guadalajara;Total;2021;2.064
19 Guadalajara;Total;2020;1.586
19 Guadalajara;Total;2019;1.906
19 Guadalajara;Total;2018;1.655
19 Guadalajara;Total;2017;1.403
19 Guadalajara;Total;2016;1.355
19 Guadalajara;Hombres;2022;1.697
19 Guadalajara;Hombres;2021;1.676
19 Guadalajara;Hombres;2020;1.296
19 Guadalajara;Hombres;2019;1.585
19 Guadalajara;Hombres;2018;1.381
19 Guadalajara;Hombres;2017;1.189
19 Guadalajara;Hombres;2016;1.187
19 Guadalajara;Mujeres;2022;354
19 Guadalajara;Mujeres;2021;388
19 Guadalajara;Mujeres;2020;290
19 Guadalajara;Mujeres;2019;321
19 Guadalajara;Mujeres;2018;274
19 Guadalajara;Mujeres;2017;214
19 Guadalajara;Mujeres;2016;168
21 Huelva;Total;2022;4.290
21 Huelva;Total;2021;4.256
21 Huelva;Total;2020;3.405
21 Huelva;Total;2019;4.455
21 Huelva;Total;2018;5.171
21 Huelva;Total;2017;4.736
21 Huelva;Total;2016;4.255
21 Huelva;Hombres;2022;3.659
21 Huelva;Hombres;2021;3.551
21 Huelva;Hombres;2020;2.864
21 Huelva;Hombres;2019;3.659
21 Huelva;Hombres;2018;4.204
21 Huelva;Hombres;2017;3.756
21 Huelva;Hombres;2016;3.372
21 Huelva;Mujeres;2022;631
21 Huelva;Mujeres;2021;705
21 Huelva;Mujeres;2020;541
21 Huelva;Mujeres;2019;796
21 Huelva;Mujeres;2018;967
21 Huelva;Mujeres;2017;980
21 Huelva;Mujeres;2016;883
22 Huesca;Total;2022;1.622
22 Huesca;Total;2021;1.618
22 Huesca;Total;2020;1.215
22 Huesca;Total;2019;1.412
22 Huesca;Total;2018;1.406
22 Huesca;Total;2017;1.453
22 Huesca;Total;2016;1.373
22 Huesca;Hombres;2022;1.404
22 Huesca;Hombres;2021;1.401
22 Huesca;Hombres;2020;1.054
22 Huesca;Hombres;2019;1.221
22 Huesca;Hombres;2018;1.217
22 Huesca;Hombres;2017;1.278
22 Huesca;Hombres;2016;1.230
22 Huesca;Mujeres;2022;218
22 Huesca;Mujeres;2021;217
22 Huesca;Mujeres;2020;161
22 Huesca;Mujeres;2019;191
22 Huesca;Mujeres;2018;189
22 Huesca;Mujeres;2017;175
22 Huesca;Mujeres;2016;143
23 Jaén;Total;2022;5.309
23 Jaén;Total;2021;5.087
23 Jaén;Total;2020;3.969
23 Jaén;Total;2019;5.247
23 Jaén;Total;2018;5.587
23 Jaén;Total;2017;5.521
23 Jaén;Total;2016;5.062
23 Jaén;Hombres;2022;4.475
23 Jaén;Hombres;2021;4.389
23 Jaén;Hombres;2020;3.441
23 Jaén;Hombres;2019;4.460
23 Jaén;Hombres;2018;4.702
23 Jaén;Hombres;2017;4.610
23 Jaén;Hombres;2016;4.305
23 Jaén;Mujeres;2022;834
23 Jaén;Mujeres;2021;698
23 Jaén;Mujeres;2020;528
23 Jaén;Mujeres;2019;787
23 Jaén;Mujeres;2018;885
23 Jaén;Mujeres;2017;911
23 Jaén;Mujeres;2016;757
24 León;Total;2022;3.771
24 León;Total;2021;3.390
24 León;Total;2020;2.731
24 León;Total;2019;3.398
24 León;Total;2018;3.186
24 León;Total;2017;3.476
24 León;Total;2016;2.934
24 León;Hombres;2022;3.029
24 León;Hombres;2021;2.713
24 León;Hombres;2020;2.175
24 León;Hombres;2019;2.706
24 León;Hombres;2018;2.528
24 León;Hombres;2017;2.785
24 León;Hombres;2016;2.402
24 León;Mujeres;2022;742
24 León;Mujeres;2021;677
24 León;Mujeres;2020;556
24 León;Mujeres;2019;692
24 León;Mujeres;2018;658
24 León;Mujeres;2017;691
24 León;Mujeres;2016;532
25 Lleida;Total;2022;4.320
25 Lleida;Total;2021;4.139
25 Lleida;Total;2020;2.549
25 Lleida;Total;2019;3.727
25 Lleida;Total;2018;3.764
25 Lleida;Total;2017;3.436
25 Lleida;Total;2016;3.348
25 Lleida;Hombres;2022;3.700
25 Lleida;Hombres;2021;3.556
25 Lleida;Hombres;2020;2.189
25 Lleida;Hombres;2019;3.200
25 Lleida;Hombres;2018;3.209
25 Lleida;Hombres;2017;2.890
25 Lleida;Hombres;2016;2.875
25 Lleida;Mujeres;2022;620
25 Lleida;Mujeres;2021;583
25 Lleida;Mujeres;2020;360
25 Lleida;Mujeres;2019;527
25 Lleida;Mujeres;2018;555
25 Lleida;Mujeres;2017;546
25 Lleida;Mujeres;2016;473
27 Lugo;Total;2022;2.250
27 Lugo;Total;2021;2.071
27 Lugo;Total;2020;1.391
27 Lugo;Total;2019;1.801
27 Lugo;Total;2018;1.681
27 Lugo;Total;2017;1.726
27 Lugo;Total;2016;1.729
27 Lugo;Hombres;2022;1.914
27 Lugo;Hombres;2021;1.701
27 Lugo;Hombres;2020;1.157
27 Lugo;Hombres;2019;1.440
27 Lugo;Hombres;2018;1.396
27 Lugo;Hombres;2017;1.454
27 Lugo;Hombres;2016;1.470
27 Lugo;Mujeres;2022;336
27 Lugo;Mujeres;2021;370
27 Lugo;Mujeres;2020;234
27 Lugo;Mujeres;2019;361
27 Lugo;Mujeres;2018;285
27 Lugo;Mujeres;2017;272
27 Lugo;Mujeres;2016;259
28 Madrid;Total;2022;50.268
28 Madrid;Total;2021;49.725
28 Madrid;Total;2020;38.856
28 Madrid;Total;2019;54.264
28 Madrid;Total;2018;56.063
28 Madrid;Total;2017;52.778
28 Madrid;Total;2016;46.487
28 Madrid;Hombres;2022;39.488
28 Madrid;Hombres;2021;38.466
28 Madrid;Hombres;2020;30.026
28 Madrid;Hombres;2019;41.157
28 Madrid;Hombres;2018;41.943
28 Madrid;Hombres;2017;39.409
28 Madrid;Hombres;2016;35.958
28 Madrid;Mujeres;2022;10.780
28 Madrid;Mujeres;2021;11.259
28 Madrid;Mujeres;2020;8.830
28 Madrid;Mujeres;2019;13.107
28 Madrid;Mujeres;2018;14.120
28 Madrid;Mujeres;2017;13.369
28 Madrid;Mujeres;2016;10.529
29 Málaga;Total;2022;17.518
29 Málaga;Total;2021;17.190
29 Málaga;Total;2020;11.801
29 Málaga;Total;2019;15.808
29 Málaga;Total;2018;15.689
29 Málaga;Total;2017;15.277
29 Málaga;Total;2016;14.306
29 Málaga;Hombres;2022;14.008
29 Málaga;Hombres;2021;13.770
29 Málaga;Hombres;2020;9.518
29 Málaga;Hombres;2019;12.551
29 Málaga;Hombres;2018;12.343
29 Málaga;Hombres;2017;12.050
29 Málaga;Hombres;2016;11.395
29 Málaga;Mujeres;2022;3.510
29 Málaga;Mujeres;2021;3.420
29 Málaga;Mujeres;2020;2.283
29 Málaga;Mujeres;2019;3.257
29 Málaga;Mujeres;2018;3.346
29 Málaga;Mujeres;2017;3.227
29 Málaga;Mujeres;2016;2.911
30 Murcia;Total;2022;14.751
30 Murcia;Total;2021;14.147
30 Murcia;Total;2020;10.411
30 Murcia;Total;2019;13.275
30 Murcia;Total;2018;13.101
30 Murcia;Total;2017;12.761
30 Murcia;Total;2016;12.812
30 Murcia;Hombres;2022;12.773
30 Murcia;Hombres;2021;12.123
30 Murcia;Hombres;2020;8.959
30 Murcia;Hombres;2019;11.214
30 Murcia;Hombres;2018;11.198
30 Murcia;Hombres;2017;10.828
30 Murcia;Hombres;2016;10.858
30 Murcia;Mujeres;2022;1.978
30 Murcia;Mujeres;2021;2.024
30 Murcia;Mujeres;2020;1.452
30 Murcia;Mujeres;2019;2.061
30 Murcia;Mujeres;2018;1.903
30 Murcia;Mujeres;2017;1.933
30 Murcia;Mujeres;2016;1.954
31 Navarra;Total;2022;5.515
31 Navarra;Total;2021;4.725
31 Navarra;Total;2020;3.686
31 Navarra;Total;2019;4.940
31 Navarra;Total;2018;4.775
31 Navarra;Total;2017;4.533
31 Navarra;Total;2016;4.109
31 Navarra;Hombres;2022;4.728
31 Navarra;Hombres;2021;4.019
31 Navarra;Hombres;2020;3.114
31 Navarra;Hombres;2019;4.121
31 Navarra;Hombres;2018;3.966
31 Navarra;Hombres;2017;3.756
31 Navarra;Hombres;2016;3.396
31 Navarra;Mujeres;2022;787
31 Navarra;Mujeres;2021;706
31 Navarra;Mujeres;2020;572
31 Navarra;Mujeres;2019;819
31 Navarra;Mujeres;2018;809
31 Navarra;Mujeres;2017;777
31 Navarra;Mujeres;2016;713
32 Ourense;Total;2022;2.126
32 Ourense;Total;2021;1.960
32 Ourense;Total;2020;1.557
32 Ourense;Total;2019;2.198
32 Ourense;Total;2018;1.859
32 Ourense;Total;2017;2.084
32 Ourense;Total;2016;1.883
32 Ourense;Hombres;2022;1.813
32 Ourense;Hombres;2021;1.703
32 Ourense;Hombres;2020;1.368
32 Ourense;Hombres;2019;1.888
32 Ourense;Hombres;2018;1.652
32 Ourense;Hombres;2017;1.773
32 Ourense;Hombres;2016;1.666
32 Ourense;Mujeres;2022;313
32 Ourense;Mujeres;2021;257
32 Ourense;Mujeres;2020;189
32 Ourense;Mujeres;2019;310
32 Ourense;Mujeres;2018;207
32 Ourense;Mujeres;2017;311
32 Ourense;Mujeres;2016;217
34 Palencia;Total;2022;1.198
34 Palencia;Total;2021;1.173
