Provincias;Sexo;Periodo;Total
02 Albacete;Mujeres;2019;1.385
02 Albacete;Mujeres;2018;1.457
02 Albacete;Mujeres;2017;1.534
02 Albacete;Mujeres;2016;1.613
02 Albacete;Mujeres;2015;1.658
02 Albacete;Mujeres;2014;1.693
02 Albacete;Mujeres;2013;1.702
02 Albacete;Mujeres;2012;1.837
02 Albacete;Mujeres;2011;1.874
02 Albacete;Mujeres;2010;1.994
02 Albacete;Mujeres;2009;2.037
02 Albacete;Mujeres;2008;1.970
02 Albacete;Mujeres;2007;1.760
02 Albacete;Mujeres;2006;1.930
02 Albacete;Mujeres;2005;1.789
02 Albacete;Mujeres;2004;1.707
02 Albacete;Mujeres;2003;1.829
02 Albacete;Mujeres;2002;1.832
02 Albacete;Mujeres;2001;1.799
02 Albacete;Mujeres;2000;1.795
02 Albacete;Mujeres;1999;1.757
02 Albacete;Mujeres;1998;1.790
02 Albacete;Mujeres;1997;1.795
02 Albacete;Mujeres;1996;1.795
02 Albacete;Mujeres;1995;1.850
02 Albacete;Mujeres;1994;1.944
02 Albacete;Mujeres;1993;1.841
02 Albacete;Mujeres;1992;2.050
02 Albacete;Mujeres;1991;1.990
02 Albacete;Mujeres;1990;2.068
02 Albacete;Mujeres;1989;2.079
02 Albacete;Mujeres;1988;2.018
02 Albacete;Mujeres;1987;2.180
02 Albacete;Mujeres;1986;2.123
02 Albacete;Mujeres;1985;2.104
02 Albacete;Mujeres;1984;2.283
02 Albacete;Mujeres;1983;2.244
02 Albacete;Mujeres;1982;2.425
02 Albacete;Mujeres;1981;2.445
02 Albacete;Mujeres;1980;2.523
02 Albacete;Mujeres;1979;2.637
02 Albacete;Mujeres;1978;2.784
02 Albacete;Mujeres;1977;2.742
02 Albacete;Mujeres;1976;2.935
02 Albacete;Mujeres;1975;2.855
03 Alicante/Alacant;Total;2022;13.262
03 Alicante/Alacant;Total;2021;13.371
03 Alicante/Alacant;Total;2020;13.334
03 Alicante/Alacant;Total;2019;14.046
03 Alicante/Alacant;Total;2018;14.161
03 Alicante/Alacant;Total;2017;15.039
03 Alicante/Alacant;Total;2016;15.259
03 Alicante/Alacant;Total;2015;15.904
03 Alicante/Alacant;Total;2014;15.980
03 Alicante/Alacant;Total;2013;15.832
03 Alicante/Alacant;Total;2012;16.677
03 Alicante/Alacant;Total;2011;17.246
03 Alicante/Alacant;Total;2010;18.187
03 Alicante/Alacant;Total;2009;18.341
03 Alicante/Alacant;Total;2008;20.202
03 Alicante/Alacant;Total;2007;19.083
03 Alicante/Alacant;Total;2006;18.852
03 Alicante/Alacant;Total;2005;18.129
03 Alicante/Alacant;Total;2004;17.655
03 Alicante/Alacant;Total;2003;17.067
03 Alicante/Alacant;Total;2002;15.855
03 Alicante/Alacant;Total;2001;15.177
03 Alicante/Alacant;Total;2000;14.509
03 Alicante/Alacant;Total;1999;13.722
03 Alicante/Alacant;Total;1998;13.135
03 Alicante/Alacant;Total;1997;12.811
03 Alicante/Alacant;Total;1996;13.023
03 Alicante/Alacant;Total;1995;13.109
03 Alicante/Alacant;Total;1994;13.291
03 Alicante/Alacant;Total;1993;13.617
03 Alicante/Alacant;Total;1992;14.213
03 Alicante/Alacant;Total;1991;14.546
03 Alicante/Alacant;Total;1990;14.839
03 Alicante/Alacant;Total;1989;14.690
03 Alicante/Alacant;Total;1988;15.210
03 Alicante/Alacant;Total;1987;15.042
03 Alicante/Alacant;Total;1986;15.339
03 Alicante/Alacant;Total;1985;15.514
03 Alicante/Alacant;Total;1984;15.956
03 Alicante/Alacant;Total;1983;16.482
03 Alicante/Alacant;Total;1982;17.619
03 Alicante/Alacant;Total;1981;18.625
03 Alicante/Alacant;Total;1980;19.366
03 Alicante/Alacant;Total;1979;20.057
03 Alicante/Alacant;Total;1978;20.944
03 Alicante/Alacant;Total;1977;21.304
03 Alicante/Alacant;Total;1976;21.846
03 Alicante/Alacant;Total;1975;21.038
03 Alicante/Alacant;Hombres;2022;6.842
03 Alicante/Alacant;Hombres;2021;6.913
03 Alicante/Alacant;Hombres;2020;6.829
03 Alicante/Alacant;Hombres;2019;7.301
03 Alicante/Alacant;Hombres;2018;7.307
03 Alicante/Alacant;Hombres;2017;7.711
03 Alicante/Alacant;Hombres;2016;7.946
03 Alicante/Alacant;Hombres;2015;8.276
03 Alicante/Alacant;Hombres;2014;8.182
03 Alicante/Alacant;Hombres;2013;8.233
03 Alicante/Alacant;Hombres;2012;8.545
03 Alicante/Alacant;Hombres;2011;8.904
03 Alicante/Alacant;Hombres;2010;9.468
03 Alicante/Alacant;Hombres;2009;9.484
03 Alicante/Alacant;Hombres;2008;10.446
03 Alicante/Alacant;Hombres;2007;9.880
03 Alicante/Alacant;Hombres;2006;9.792
03 Alicante/Alacant;Hombres;2005;9.336
03 Alicante/Alacant;Hombres;2004;9.152
03 Alicante/Alacant;Hombres;2003;8.827
03 Alicante/Alacant;Hombres;2002;8.150
03 Alicante/Alacant;Hombres;2001;7.929
03 Alicante/Alacant;Hombres;2000;7.580
03 Alicante/Alacant;Hombres;1999;6.948
03 Alicante/Alacant;Hombres;1998;6.830
03 Alicante/Alacant;Hombres;1997;6.654
03 Alicante/Alacant;Hombres;1996;6.704
03 Alicante/Alacant;Hombres;1995;6.716
03 Alicante/Alacant;Hombres;1994;6.806
03 Alicante/Alacant;Hombres;1993;7.027
03 Alicante/Alacant;Hombres;1992;7.316
03 Alicante/Alacant;Hombres;1991;7.537
03 Alicante/Alacant;Hombres;1990;7.697
03 Alicante/Alacant;Hombres;1989;7.501
03 Alicante/Alacant;Hombres;1988;7.856
03 Alicante/Alacant;Hombres;1987;7.818
03 Alicante/Alacant;Hombres;1986;7.968
03 Alicante/Alacant;Hombres;1985;7.983
03 Alicante/Alacant;Hombres;1984;8.453
03 Alicante/Alacant;Hombres;1983;8.568
03 Alicante/Alacant;Hombres;1982;9.174
03 Alicante/Alacant;Hombres;1981;9.579
03 Alicante/Alacant;Hombres;1980;9.998
03 Alicante/Alacant;Hombres;1979;10.463
03 Alicante/Alacant;Hombres;1978;10.914
03 Alicante/Alacant;Hombres;1977;11.127
03 Alicante/Alacant;Hombres;1976;11.228
03 Alicante/Alacant;Hombres;1975;10.878
03 Alicante/Alacant;Mujeres;2022;6.420
03 Alicante/Alacant;Mujeres;2021;6.458
03 Alicante/Alacant;Mujeres;2020;6.505
03 Alicante/Alacant;Mujeres;2019;6.745
03 Alicante/Alacant;Mujeres;2018;6.854
03 Alicante/Alacant;Mujeres;2017;7.328
03 Alicante/Alacant;Mujeres;2016;7.313
03 Alicante/Alacant;Mujeres;2015;7.628
03 Alicante/Alacant;Mujeres;2014;7.798
03 Alicante/Alacant;Mujeres;2013;7.599
03 Alicante/Alacant;Mujeres;2012;8.132
03 Alicante/Alacant;Mujeres;2011;8.342
03 Alicante/Alacant;Mujeres;2010;8.719
03 Alicante/Alacant;Mujeres;2009;8.857
03 Alicante/Alacant;Mujeres;2008;9.756
03 Alicante/Alacant;Mujeres;2007;9.203
03 Alicante/Alacant;Mujeres;2006;9.060
03 Alicante/Alacant;Mujeres;2005;8.793
03 Alicante/Alacant;Mujeres;2004;8.503
03 Alicante/Alacant;Mujeres;2003;8.240
03 Alicante/Alacant;Mujeres;2002;7.705
03 Alicante/Alacant;Mujeres;2001;7.248
03 Alicante/Alacant;Mujeres;2000;6.929
03 Alicante/Alacant;Mujeres;1999;6.774
03 Alicante/Alacant;Mujeres;1998;6.305
03 Alicante/Alacant;Mujeres;1997;6.157
03 Alicante/Alacant;Mujeres;1996;6.319
03 Alicante/Alacant;Mujeres;1995;6.393
03 Alicante/Alacant;Mujeres;1994;6.485
03 Alicante/Alacant;Mujeres;1993;6.590
03 Alicante/Alacant;Mujeres;1992;6.897
03 Alicante/Alacant;Mujeres;1991;7.009
03 Alicante/Alacant;Mujeres;1990;7.142
03 Alicante/Alacant;Mujeres;1989;7.189
03 Alicante/Alacant;Mujeres;1988;7.354
03 Alicante/Alacant;Mujeres;1987;7.224
03 Alicante/Alacant;Mujeres;1986;7.371
03 Alicante/Alacant;Mujeres;1985;7.531
03 Alicante/Alacant;Mujeres;1984;7.503
03 Alicante/Alacant;Mujeres;1983;7.914
03 Alicante/Alacant;Mujeres;1982;8.445
03 Alicante/Alacant;Mujeres;1981;9.046
03 Alicante/Alacant;Mujeres;1980;9.368
03 Alicante/Alacant;Mujeres;1979;9.594
03 Alicante/Alacant;Mujeres;1978;10.030
03 Alicante/Alacant;Mujeres;1977;10.177
03 Alicante/Alacant;Mujeres;1976;10.618
03 Alicante/Alacant;Mujeres;1975;10.160
04 Almería;Total;2022;6.815
04 Almería;Total;2021;6.888
04 Almería;Total;2020;6.874
04 Almería;Total;2019;7.287
04 Almería;Total;2018;7.417
04 Almería;Total;2017;7.562
04 Almería;Total;2016;7.816
04 Almería;Total;2015;7.937
04 Almería;Total;2014;7.859
04 Almería;Total;2013;7.770
04 Almería;Total;2012;7.975
04 Almería;Total;2011;8.299
04 Almería;Total;2010;8.512
04 Almería;Total;2009;8.472
04 Almería;Total;2008;9.135
04 Almería;Total;2007;8.475
04 Almería;Total;2006;8.425
04 Almería;Total;2005;7.829
04 Almería;Total;2004;7.505
04 Almería;Total;2003;6.974
04 Almería;Total;2002;6.484
04 Almería;Total;2001;6.496
04 Almería;Total;2000;6.074
04 Almería;Total;1999;6.116
04 Almería;Total;1998;5.707
04 Almería;Total;1997;5.721
04 Almería;Total;1996;5.630
04 Almería;Total;1995;5.687
04 Almería;Total;1994;5.657
04 Almería;Total;1993;5.933
04 Almería;Total;1992;6.140
04 Almería;Total;1991;6.132
04 Almería;Total;1990;6.459
04 Almería;Total;1989;6.307
04 Almería;Total;1988;6.497
04 Almería;Total;1987;6.514
04 Almería;Total;1986;6.380
04 Almería;Total;1985;6.547
04 Almería;Total;1984;6.841
04 Almería;Total;1983;7.096
04 Almería;Total;1982;7.166
04 Almería;Total;1981;7.392
04 Almería;Total;1980;7.683
04 Almería;Total;1979;7.796
04 Almería;Total;1978;7.919
04 Almería;Total;1977;7.964
04 Almería;Total;1976;8.262
04 Almería;Total;1975;7.774
04 Almería;Hombres;2022;3.511
04 Almería;Hombres;2021;3.519
04 Almería;Hombres;2020;3.580
04 Almería;Hombres;2019;3.701
04 Almería;Hombres;2018;3.885
04 Almería;Hombres;2017;3.847
04 Almería;Hombres;2016;3.933
04 Almería;Hombres;2015;4.100
04 Almería;Hombres;2014;4.041
04 Almería;Hombres;2013;4.023
04 Almería;Hombres;2012;4.117
04 Almería;Hombres;2011;4.212
04 Almería;Hombres;2010;4.373
04 Almería;Hombres;2009;4.377
04 Almería;Hombres;2008;4.699
04 Almería;Hombres;2007;4.373
04 Almería;Hombres;2006;4.257
04 Almería;Hombres;2005;4.034
04 Almería;Hombres;2004;3.875
04 Almería;Hombres;2003;3.598
04 Almería;Hombres;2002;3.266
04 Almería;Hombres;2001;3.366
04 Almería;Hombres;2000;3.144
04 Almería;Hombres;1999;3.218
04 Almería;Hombres;1998;2.986
04 Almería;Hombres;1997;3.021
04 Almería;Hombres;1996;2.914
04 Almería;Hombres;1995;2.905
04 Almería;Hombres;1994;2.965
04 Almería;Hombres;1993;3.060
04 Almería;Hombres;1992;3.207
04 Almería;Hombres;1991;3.179
04 Almería;Hombres;1990;3.378
04 Almería;Hombres;1989;3.410
04 Almería;Hombres;1988;3.418
04 Almería;Hombres;1987;3.441
04 Almería;Hombres;1986;3.281
04 Almería;Hombres;1985;3.383
04 Almería;Hombres;1984;3.489
04 Almería;Hombres;1983;3.682
04 Almería;Hombres;1982;3.636
04 Almería;Hombres;1981;3.771
04 Almería;Hombres;1980;3.943
04 Almería;Hombres;1979;4.034
04 Almería;Hombres;1978;4.066
04 Almería;Hombres;1977;4.188
04 Almería;Hombres;1976;4.273
04 Almería;Hombres;1975;4.058
04 Almería;Mujeres;2022;3.304
04 Almería;Mujeres;2021;3.369
04 Almería;Mujeres;2020;3.294
04 Almería;Mujeres;2019;3.586
04 Almería;Mujeres;2018;3.532
04 Almería;Mujeres;2017;3.715
04 Almería;Mujeres;2016;3.883
04 Almería;Mujeres;2015;3.837
04 Almería;Mujeres;2014;3.818
04 Almería;Mujeres;2013;3.747
04 Almería;Mujeres;2012;3.858
04 Almería;Mujeres;2011;4.087
04 Almería;Mujeres;2010;4.139
04 Almería;Mujeres;2009;4.095
04 Almería;Mujeres;2008;4.436
04 Almería;Mujeres;2007;4.102
04 Almería;Mujeres;2006;4.168
04 Almería;Mujeres;2005;3.795
04 Almería;Mujeres;2004;3.630
04 Almería;Mujeres;2003;3.376
04 Almería;Mujeres;2002;3.218
04 Almería;Mujeres;2001;3.130
04 Almería;Mujeres;2000;2.930
04 Almería;Mujeres;1999;2.898
04 Almería;Mujeres;1998;2.721
04 Almería;Mujeres;1997;2.700
04 Almería;Mujeres;1996;2.716
04 Almería;Mujeres;1995;2.782
04 Almería;Mujeres;1994;2.692
04 Almería;Mujeres;1993;2.873
04 Almería;Mujeres;1992;2.933
04 Almería;Mujeres;1991;2.953
04 Almería;Mujeres;1990;3.081
04 Almería;Mujeres;1989;2.897
04 Almería;Mujeres;1988;3.079
04 Almería;Mujeres;1987;3.073
04 Almería;Mujeres;1986;3.099
04 Almería;Mujeres;1985;3.164
04 Almería;Mujeres;1984;3.352
04 Almería;Mujeres;1983;3.414
04 Almería;Mujeres;1982;3.530
04 Almería;Mujeres;1981;3.621
04 Almería;Mujeres;1980;3.740
04 Almería;Mujeres;1979;3.762
04 Almería;Mujeres;1978;3.853
04 Almería;Mujeres;1977;3.776
04 Almería;Mujeres;1976;3.989
04 Almería;Mujeres;1975;3.716
01 Araba/Álava;Total;2022;2.273
01 Araba/Álava;Total;2021;2.369
01 Araba/Álava;Total;2020;2.398
01 Araba/Álava;Total;2019;2.568
01 Araba/Álava;Total;2018;2.683
01 Araba/Álava;Total;2017;2.962
01 Araba/Álava;Total;2016;3.074
01 Araba/Álava;Total;2015;3.158
01 Araba/Álava;Total;2014;3.277
01 Araba/Álava;Total;2013;3.099
01 Araba/Álava;Total;2012;3.293
01 Araba/Álava;Total;2011;3.427
01 Araba/Álava;Total;2010;3.348
01 Araba/Álava;Total;2009;3.222
01 Araba/Álava;Total;2008;3.210
01 Araba/Álava;Total;2007;3.033
01 Araba/Álava;Total;2006;2.917
01 Araba/Álava;Total;2005;2.791
01 Araba/Álava;Total;2004;2.810
01 Araba/Álava;Total;2003;2.693
01 Araba/Álava;Total;2002;2.491
01 Araba/Álava;Total;2001;2.435
01 Araba/Álava;Total;2000;2.486
01 Araba/Álava;Total;1999;2.322
01 Araba/Álava;Total;1998;2.249
01 Araba/Álava;Total;1997;2.226
01 Araba/Álava;Total;1996;2.248
01 Araba/Álava;Total;1995;2.083
01 Araba/Álava;Total;1994;2.022
01 Araba/Álava;Total;1993;2.261
01 Araba/Álava;Total;1992;2.244
01 Araba/Álava;Total;1991;2.291
01 Araba/Álava;Total;1990;2.324
01 Araba/Álava;Total;1989;2.419
01 Araba/Álava;Total;1988;2.623
01 Araba/Álava;Total;1987;2.604
01 Araba/Álava;Total;1986;2.728
01 Araba/Álava;Total;1985;3.008
01 Araba/Álava;Total;1984;3.108
01 Araba/Álava;Total;1983;3.374
01 Araba/Álava;Total;1982;3.436
01 Araba/Álava;Total;1981;3.710
01 Araba/Álava;Total;1980;3.917
01 Araba/Álava;Total;1979;4.163
01 Araba/Álava;Total;1978;4.560
01 Araba/Álava;Total;1977;4.634
01 Araba/Álava;Total;1976;4.809
01 Araba/Álava;Total;1975;4.833
01 Araba/Álava;Hombres;2022;1.180
01 Araba/Álava;Hombres;2021;1.237
01 Araba/Álava;Hombres;2020;1.238
01 Araba/Álava;Hombres;2019;1.312
01 Araba/Álava;Hombres;2018;1.386
01 Araba/Álava;Hombres;2017;1.498
01 Araba/Álava;Hombres;2016;1.546
01 Araba/Álava;Hombres;2015;1.635
01 Araba/Álava;Hombres;2014;1.676
01 Araba/Álava;Hombres;2013;1.618
01 Araba/Álava;Hombres;2012;1.740
01 Araba/Álava;Hombres;2011;1.742
01 Araba/Álava;Hombres;2010;1.740
01 Araba/Álava;Hombres;2009;1.685
01 Araba/Álava;Hombres;2008;1.676
01 Araba/Álava;Hombres;2007;1.520
01 Araba/Álava;Hombres;2006;1.523
01 Araba/Álava;Hombres;2005;1.405
01 Araba/Álava;Hombres;2004;1.452
01 Araba/Álava;Hombres;2003;1.390
01 Araba/Álava;Hombres;2002;1.276
01 Araba/Álava;Hombres;2001;1.231
01 Araba/Álava;Hombres;2000;1.283
01 Araba/Álava;Hombres;1999;1.137
01 Araba/Álava;Hombres;1998;1.137
01 Araba/Álava;Hombres;1997;1.141
01 Araba/Álava;Hombres;1996;1.175
01 Araba/Álava;Hombres;1995;1.073
01 Araba/Álava;Hombres;1994;1.032
01 Araba/Álava;Hombres;1993;1.145
01 Araba/Álava;Hombres;1992;1.156
01 Araba/Álava;Hombres;1991;1.187
01 Araba/Álava;Hombres;1990;1.179
01 Araba/Álava;Hombres;1989;1.279
01 Araba/Álava;Hombres;1988;1.322
01 Araba/Álava;Hombres;1987;1.361
01 Araba/Álava;Hombres;1986;1.431
01 Araba/Álava;Hombres;1985;1.527
01 Araba/Álava;Hombres;1984;1.635
01 Araba/Álava;Hombres;1983;1.754
01 Araba/Álava;Hombres;1982;1.784
01 Araba/Álava;Hombres;1981;1.889
01 Araba/Álava;Hombres;1980;2.102
01 Araba/Álava;Hombres;1979;2.089
01 Araba/Álava;Hombres;1978;2.319
01 Araba/Álava;Hombres;1977;2.429
01 Araba/Álava;Hombres;1976;2.508
01 Araba/Álava;Hombres;1975;2.448
01 Araba/Álava;Mujeres;2022;1.093
01 Araba/Álava;Mujeres;2021;1.132
01 Araba/Álava;Mujeres;2020;1.160
01 Araba/Álava;Mujeres;2019;1.256
01 Araba/Álava;Mujeres;2018;1.297
01 Araba/Álava;Mujeres;2017;1.464
01 Araba/Álava;Mujeres;2016;1.528
01 Araba/Álava;Mujeres;2015;1.523
01 Araba/Álava;Mujeres;2014;1.601
01 Araba/Álava;Mujeres;2013;1.481
01 Araba/Álava;Mujeres;2012;1.553
01 Araba/Álava;Mujeres;2011;1.685
01 Araba/Álava;Mujeres;2010;1.608
01 Araba/Álava;Mujeres;2009;1.537
01 Araba/Álava;Mujeres;2008;1.534
01 Araba/Álava;Mujeres;2007;1.513
01 Araba/Álava;Mujeres;2006;1.394
01 Araba/Álava;Mujeres;2005;1.386
01 Araba/Álava;Mujeres;2004;1.358
01 Araba/Álava;Mujeres;2003;1.303
01 Araba/Álava;Mujeres;2002;1.215
01 Araba/Álava;Mujeres;2001;1.204
01 Araba/Álava;Mujeres;2000;1.203
01 Araba/Álava;Mujeres;1999;1.185
01 Araba/Álava;Mujeres;1998;1.112
01 Araba/Álava;Mujeres;1997;1.085
01 Araba/Álava;Mujeres;1996;1.073
01 Araba/Álava;Mujeres;1995;1.010
01 Araba/Álava;Mujeres;1994;990
01 Araba/Álava;Mujeres;1993;1.116
01 Araba/Álava;Mujeres;1992;1.088
01 Araba/Álava;Mujeres;1991;1.104
01 Araba/Álava;Mujeres;1990;1.145
01 Araba/Álava;Mujeres;1989;1.140
01 Araba/Álava;Mujeres;1988;1.301
01 Araba/Álava;Mujeres;1987;1.243
01 Araba/Álava;Mujeres;1986;1.297
01 Araba/Álava;Mujeres;1985;1.481
01 Araba/Álava;Mujeres;1984;1.473
01 Araba/Álava;Mujeres;1983;1.620
01 Araba/Álava;Mujeres;1982;1.652
01 Araba/Álava;Mujeres;1981;1.821
01 Araba/Álava;Mujeres;1980;1.815
01 Araba/Álava;Mujeres;1979;2.074
01 Araba/Álava;Mujeres;1978;2.241
01 Araba/Álava;Mujeres;1977;2.205
01 Araba/Álava;Mujeres;1976;2.301
01 Araba/Álava;Mujeres;1975;2.385
33 Asturias;Total;2022;4.744
33 Asturias;Total;2021;4.785
33 Asturias;Total;2020;4.771
33 Asturias;Total;2019;5.152
